index,url,error
0,http://www.emuseum.go.kr/detail?relicId=PS0100200100106199100000,"Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""#content > div.wrap__text__body--info__text > dl:nth-child(3) > dd > div""}
  (Session info: chrome=136.0.7103.114); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
0   chromedriver                        0x00000001054983e0 cxxbridge1$str$ptr + 2829900
1   chromedriver                        0x00000001054906a8 cxxbridge1$str$ptr + 2797844
2   chromedriver                        0x0000000104fcdfbc cxxbridge1$string$len + 90140
3   chromedriver                        0x00000001050151bc cxxbridge1$string$len + 381468
4   chromedriver                        0x0000000105056044 cxxbridge1$string$len + 647332
5   chromedriver                        0x00000001050093f8 cxxbridge1$string$len + 332888
6   chromedriver                        0x000000010545c804 cxxbridge1$str$ptr + 2585200
7   chromedriver                        0x000000010545fad4 cxxbridge1$str$ptr + 2598208
8   chromedriver                        0x000000010543ddd8 cxxbridge1$str$ptr + 2459716
9   chromedriver                        0x000000010546034c cxxbridge1$str$ptr + 2600376
10  chromedriver                        0x000000010542f664 cxxbridge1$str$ptr + 2400464
11  chromedriver                        0x00000001054802b0 cxxbridge1$str$ptr + 2731292
12  chromedriver                        0x000000010548043c cxxbridge1$str$ptr + 2731688
13  chromedriver                        0x00000001054902f4 cxxbridge1$str$ptr + 2796896
14  libsystem_pthread.dylib             0x000000019b436c0c _pthread_start + 136
15  libsystem_pthread.dylib             0x000000019b431b80 thread_start + 8
"
1,,invalid or missing URL
2,https://archive.aks.ac.kr/insp/item.do#view.do?itemId=insp&gubun=form&upPath=02%5E0204%5E020451&dataId=G002%2BAKS%2BKSM-XD.1555.0000-20101008.B001a_001_00140_XXX,"Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""#content > div.wrap__text__body--info__text > dl:nth-child(3) > dd > div""}
  (Session info: chrome=136.0.7103.114); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
0   chromedriver                        0x00000001054983e0 cxxbridge1$str$ptr + 2829900
1   chromedriver                        0x00000001054906a8 cxxbridge1$str$ptr + 2797844
2   chromedriver                        0x0000000104fcdfbc cxxbridge1$string$len + 90140
3   chromedriver                        0x00000001050151bc cxxbridge1$string$len + 381468
4   chromedriver                        0x0000000105056044 cxxbridge1$string$len + 647332
5   chromedriver                        0x00000001050093f8 cxxbridge1$string$len + 332888
6   chromedriver                        0x000000010545c804 cxxbridge1$str$ptr + 2585200
7   chromedriver                        0x000000010545fad4 cxxbridge1$str$ptr + 2598208
8   chromedriver                        0x000000010543ddd8 cxxbridge1$str$ptr + 2459716
9   chromedriver                        0x000000010546034c cxxbridge1$str$ptr + 2600376
10  chromedriver                        0x000000010542f664 cxxbridge1$str$ptr + 2400464
11  chromedriver                        0x00000001054802b0 cxxbridge1$str$ptr + 2731292
12  chromedriver                        0x000000010548043c cxxbridge1$str$ptr + 2731688
13  chromedriver                        0x00000001054902f4 cxxbridge1$str$ptr + 2796896
14  libsystem_pthread.dylib             0x000000019b436c0c _pthread_start + 136
15  libsystem_pthread.dylib             0x000000019b431b80 thread_start + 8
"
7,https://archive.aks.ac.kr/insp/item.do#view.do?itemId=insp&gubun=form&upPath=02%5E0204%5E020451&dataId=G002%2BAKS%2BKSM-XD.1603.0000-20101008.B018b_030_00088_XXX,"Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""#content > div.wrap__text__body--info__text > dl:nth-child(3) > dd > div""}
  (Session info: chrome=136.0.7103.114); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
0   chromedriver                        0x00000001054983e0 cxxbridge1$str$ptr + 2829900
1   chromedriver                        0x00000001054906a8 cxxbridge1$str$ptr + 2797844
2   chromedriver                        0x0000000104fcdfbc cxxbridge1$string$len + 90140
3   chromedriver                        0x00000001050151bc cxxbridge1$string$len + 381468
4   chromedriver                        0x0000000105056044 cxxbridge1$string$len + 647332
5   chromedriver                        0x00000001050093f8 cxxbridge1$string$len + 332888
6   chromedriver                        0x000000010545c804 cxxbridge1$str$ptr + 2585200
7   chromedriver                        0x000000010545fad4 cxxbridge1$str$ptr + 2598208
8   chromedriver                        0x000000010543ddd8 cxxbridge1$str$ptr + 2459716
9   chromedriver                        0x000000010546034c cxxbridge1$str$ptr + 2600376
10  chromedriver                        0x000000010542f664 cxxbridge1$str$ptr + 2400464
11  chromedriver                        0x00000001054802b0 cxxbridge1$str$ptr + 2731292
12  chromedriver                        0x000000010548043c cxxbridge1$str$ptr + 2731688
13  chromedriver                        0x00000001054902f4 cxxbridge1$str$ptr + 2796896
14  libsystem_pthread.dylib             0x000000019b436c0c _pthread_start + 136
15  libsystem_pthread.dylib             0x000000019b431b80 thread_start + 8
"
8,https://archive.aks.ac.kr/insp/item.do#view.do?itemId=insp&gubun=form&upPath=02%5E0204%5E020451&dataId=G002%2BAKS%2BKSM-XD.1610.0000-20101008.B021a_033_00487_XXX,"Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""#content > div.wrap__text__body--info__text > dl:nth-child(3) > dd > div""}
  (Session info: chrome=136.0.7103.114); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
0   chromedriver                        0x00000001054983e0 cxxbridge1$str$ptr + 2829900
1   chromedriver                        0x00000001054906a8 cxxbridge1$str$ptr + 2797844
2   chromedriver                        0x0000000104fcdfbc cxxbridge1$string$len + 90140
3   chromedriver                        0x00000001050151bc cxxbridge1$string$len + 381468
4   chromedriver                        0x0000000105056044 cxxbridge1$string$len + 647332
5   chromedriver                        0x00000001050093f8 cxxbridge1$string$len + 332888
6   chromedriver                        0x000000010545c804 cxxbridge1$str$ptr + 2585200
7   chromedriver                        0x000000010545fad4 cxxbridge1$str$ptr + 2598208
8   chromedriver                        0x000000010543ddd8 cxxbridge1$str$ptr + 2459716
9   chromedriver                        0x000000010546034c cxxbridge1$str$ptr + 2600376
10  chromedriver                        0x000000010542f664 cxxbridge1$str$ptr + 2400464
11  chromedriver                        0x00000001054802b0 cxxbridge1$str$ptr + 2731292
12  chromedriver                        0x000000010548043c cxxbridge1$str$ptr + 2731688
13  chromedriver                        0x00000001054902f4 cxxbridge1$str$ptr + 2796896
14  libsystem_pthread.dylib             0x000000019b436c0c _pthread_start + 136
15  libsystem_pthread.dylib             0x000000019b431b80 thread_start + 8
"
9,https://archive.aks.ac.kr/insp/item.do#view.do?itemId=insp&gubun=form&upPath=02%5E0204%5E020451&dataId=G002%2BAKS%2BKSM-XD.1624.0000-20101008.B049a_072_00495_XXX,"Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""#content > div.wrap__text__body--info__text > dl:nth-child(3) > dd > div""}
  (Session info: chrome=136.0.7103.114); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
0   chromedriver                        0x00000001054983e0 cxxbridge1$str$ptr + 2829900
1   chromedriver                        0x00000001054906a8 cxxbridge1$str$ptr + 2797844
2   chromedriver                        0x0000000104fcdfbc cxxbridge1$string$len + 90140
3   chromedriver                        0x00000001050151bc cxxbridge1$string$len + 381468
4   chromedriver                        0x0000000105056044 cxxbridge1$string$len + 647332
5   chromedriver                        0x00000001050093f8 cxxbridge1$string$len + 332888
6   chromedriver                        0x000000010545c804 cxxbridge1$str$ptr + 2585200
7   chromedriver                        0x000000010545fad4 cxxbridge1$str$ptr + 2598208
8   chromedriver                        0x000000010543ddd8 cxxbridge1$str$ptr + 2459716
9   chromedriver                        0x000000010546034c cxxbridge1$str$ptr + 2600376
10  chromedriver                        0x000000010542f664 cxxbridge1$str$ptr + 2400464
11  chromedriver                        0x00000001054802b0 cxxbridge1$str$ptr + 2731292
12  chromedriver                        0x000000010548043c cxxbridge1$str$ptr + 2731688
13  chromedriver                        0x00000001054902f4 cxxbridge1$str$ptr + 2796896
14  libsystem_pthread.dylib             0x000000019b436c0c _pthread_start + 136
15  libsystem_pthread.dylib             0x000000019b431b80 thread_start + 8
"
11,https://archive.aks.ac.kr/insp/item.do#view.do?itemId=insp&gubun=form&upPath=02%5E0204%5E020451&dataId=G002%2BAKS%2BKSM-XD.1627.0000-20101008.B052b_077_00227_XXX,"Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""#content > div.wrap__text__body--info__text > dl:nth-child(3) > dd > div""}
  (Session info: chrome=136.0.7103.114); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
0   chromedriver                        0x00000001054983e0 cxxbridge1$str$ptr + 2829900
1   chromedriver                        0x00000001054906a8 cxxbridge1$str$ptr + 2797844
2   chromedriver                        0x0000000104fcdfbc cxxbridge1$string$len + 90140
3   chromedriver                        0x00000001050151bc cxxbridge1$string$len + 381468
4   chromedriver                        0x0000000105056044 cxxbridge1$string$len + 647332
5   chromedriver                        0x00000001050093f8 cxxbridge1$string$len + 332888
6   chromedriver                        0x000000010545c804 cxxbridge1$str$ptr + 2585200
7   chromedriver                        0x000000010545fad4 cxxbridge1$str$ptr + 2598208
8   chromedriver                        0x000000010543ddd8 cxxbridge1$str$ptr + 2459716
9   chromedriver                        0x000000010546034c cxxbridge1$str$ptr + 2600376
10  chromedriver                        0x000000010542f664 cxxbridge1$str$ptr + 2400464
11  chromedriver                        0x00000001054802b0 cxxbridge1$str$ptr + 2731292
12  chromedriver                        0x000000010548043c cxxbridge1$str$ptr + 2731688
13  chromedriver                        0x00000001054902f4 cxxbridge1$str$ptr + 2796896
14  libsystem_pthread.dylib             0x000000019b436c0c _pthread_start + 136
15  libsystem_pthread.dylib             0x000000019b431b80 thread_start + 8
"
12,https://archive.aks.ac.kr/insp/item.do#view.do?itemId=insp&gubun=form&upPath=02%5E0204%5E020451&dataId=G002%2BAKS%2BKSM-XD.1633.0000-20101008.B021d_094_00015_XXX,"Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""#content > div.wrap__text__body--info__text > dl:nth-child(3) > dd > div""}
  (Session info: chrome=136.0.7103.114); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
0   chromedriver                        0x00000001054983e0 cxxbridge1$str$ptr + 2829900
1   chromedriver                        0x00000001054906a8 cxxbridge1$str$ptr + 2797844
2   chromedriver                        0x0000000104fcdfbc cxxbridge1$string$len + 90140
3   chromedriver                        0x00000001050151bc cxxbridge1$string$len + 381468
4   chromedriver                        0x0000000105056044 cxxbridge1$string$len + 647332
5   chromedriver                        0x00000001050093f8 cxxbridge1$string$len + 332888
6   chromedriver                        0x000000010545c804 cxxbridge1$str$ptr + 2585200
7   chromedriver                        0x000000010545fad4 cxxbridge1$str$ptr + 2598208
8   chromedriver                        0x000000010543ddd8 cxxbridge1$str$ptr + 2459716
9   chromedriver                        0x000000010546034c cxxbridge1$str$ptr + 2600376
10  chromedriver                        0x000000010542f664 cxxbridge1$str$ptr + 2400464
11  chromedriver                        0x00000001054802b0 cxxbridge1$str$ptr + 2731292
12  chromedriver                        0x000000010548043c cxxbridge1$str$ptr + 2731688
13  chromedriver                        0x00000001054902f4 cxxbridge1$str$ptr + 2796896
14  libsystem_pthread.dylib             0x000000019b436c0c _pthread_start + 136
15  libsystem_pthread.dylib             0x000000019b431b80 thread_start + 8
"
13,https://archive.aks.ac.kr/insp/item.do#view.do?itemId=insp&gubun=form&upPath=02%5E0204%5E020451&dataId=G002%2BKHD%2BKSM-XD.1639.0000-20161223.C0806_002_00064_XXX,"Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""#content > div.wrap__text__body--info__text > dl:nth-child(3) > dd > div""}
  (Session info: chrome=136.0.7103.114); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
0   chromedriver                        0x00000001054983e0 cxxbridge1$str$ptr + 2829900
1   chromedriver                        0x00000001054906a8 cxxbridge1$str$ptr + 2797844
2   chromedriver                        0x0000000104fcdfbc cxxbridge1$string$len + 90140
3   chromedriver                        0x00000001050151bc cxxbridge1$string$len + 381468
4   chromedriver                        0x0000000105056044 cxxbridge1$string$len + 647332
5   chromedriver                        0x00000001050093f8 cxxbridge1$string$len + 332888
6   chromedriver                        0x000000010545c804 cxxbridge1$str$ptr + 2585200
7   chromedriver                        0x000000010545fad4 cxxbridge1$str$ptr + 2598208
8   chromedriver                        0x000000010543ddd8 cxxbridge1$str$ptr + 2459716
9   chromedriver                        0x000000010546034c cxxbridge1$str$ptr + 2600376
10  chromedriver                        0x000000010542f664 cxxbridge1$str$ptr + 2400464
11  chromedriver                        0x00000001054802b0 cxxbridge1$str$ptr + 2731292
12  chromedriver                        0x000000010548043c cxxbridge1$str$ptr + 2731688
13  chromedriver                        0x00000001054902f4 cxxbridge1$str$ptr + 2796896
14  libsystem_pthread.dylib             0x000000019b436c0c _pthread_start + 136
15  libsystem_pthread.dylib             0x000000019b431b80 thread_start + 8
"
14,https://archive.aks.ac.kr/insp/item.do#view.do?itemId=insp&gubun=form&upPath=02%5E0204%5E020451&dataId=G002%2BAKS%2BKSM-XD.1646.0000-20101008.B052a_077_00119_001,"Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""#content > div.wrap__text__body--info__text > dl:nth-child(3) > dd > div""}
  (Session info: chrome=136.0.7103.114); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
0   chromedriver                        0x00000001054983e0 cxxbridge1$str$ptr + 2829900
1   chromedriver                        0x00000001054906a8 cxxbridge1$str$ptr + 2797844
2   chromedriver                        0x0000000104fcdfbc cxxbridge1$string$len + 90140
3   chromedriver                        0x00000001050151bc cxxbridge1$string$len + 381468
4   chromedriver                        0x0000000105056044 cxxbridge1$string$len + 647332
5   chromedriver                        0x00000001050093f8 cxxbridge1$string$len + 332888
6   chromedriver                        0x000000010545c804 cxxbridge1$str$ptr + 2585200
7   chromedriver                        0x000000010545fad4 cxxbridge1$str$ptr + 2598208
8   chromedriver                        0x000000010543ddd8 cxxbridge1$str$ptr + 2459716
9   chromedriver                        0x000000010546034c cxxbridge1$str$ptr + 2600376
10  chromedriver                        0x000000010542f664 cxxbridge1$str$ptr + 2400464
11  chromedriver                        0x00000001054802b0 cxxbridge1$str$ptr + 2731292
12  chromedriver                        0x000000010548043c cxxbridge1$str$ptr + 2731688
13  chromedriver                        0x00000001054902f4 cxxbridge1$str$ptr + 2796896
14  libsystem_pthread.dylib             0x000000019b436c0c _pthread_start + 136
15  libsystem_pthread.dylib             0x000000019b431b80 thread_start + 8
"
