,id,name,year,writer,sort,description,grade,rank,above,height,width,provider,원소장처,webResourceURL,reference
예시,S17100511SS125,1710년 권익문(權益文) 시권,1710,권익문(權益文),소과,1710년 증광시 소과 복시에서 권익문(權益文)이 작성한 답안지,次下,三之二十,,72,220,국립민속박물관,,http://www.emuseum.go.kr/detail?relicId=PS0100200100106199100000,
,,,,,,,,,,,,,,,
홍심두,S15550301SS0001,1555년_식년_생원시_복시_김부의(金富儀)_시권,1555,김부의(金富儀),소과,1555년 식년 생원시 복시에서 김부의(金富儀)가 작성한 답안지,미상,三之五十八,,42.9,20.7,한국고문서자료관,안동 오천 광산김씨 후조당,https://archive.aks.ac.kr/insp/item.do#view.do?itemId=insp&gubun=form&upPath=02%5E0204%5E020451&dataId=G002%2BAKS%2BKSM-XD.1555.0000-20101008.B001a_001_00140_XXX,"1555년 생원시 시제가 방목에 기록되어 있지 않지만, 시권(띠지)에 기록된 등제와 방목상의 등제가 일치하므로 1555년 생원시 복시의 시권이라고 추정함. 출전- 『가정34년을묘3월초7일사마방목(嘉靖三十四年乙卯三月初七日司馬榜目)』"
,연도미상,0000년_진사시_김부의(金富儀)_시권,미상,김부의(金富儀),소과,0000년 진사시에서 김부의(金富儀)가 작성한 답안지,次中,三之二十五,Y(更),72,200,한국고문서자료관,안동 오천 광산김씨 후조당,https://archive.aks.ac.kr/link.do?dataUCI=G002+AKS+KSM-XD.1555.1111-20101008.B001a_001_00143_XXX,"1555년 김부의가 생원시에 응시하면서 진사시도 함께 응시한 것으로 추정되나, 시권에 응시연령이 적혀 있지 않아 작성시기를 확정할 수 없음."
,S15610819SS0001,1561년_식년_생원시_복시_안경로(安景老)_시권,1561,안경로(安景老),소과,1561년 식년 생원시 복시에서 안경로(安景老)가 작성한 답안지,미상,二之十二,,86,86,한국고문서자료관,안동 갈전 순흥안씨 종가,https://archive.aks.ac.kr/insp/item.do#view.do?itemId=insp&gubun=form&upPath=02%5E0204%5E020451&dataId=G002%2BAKS%2BKSM-XD.1561.0000-20101008.B028a_043_00397_XXX,"1561년 생원시 시제를 확인할 수 없으나, 시권(띠지)과 방목의 등제가 일치하므로 1561년 생원시 복시의 시권으로 추정. 출전-『가정40년신유8월19일사마방목(嘉靖四十年辛酉八月十九日司馬榜目)』"
,S1582028SS0001,1582년_식년_생원시_복시_안담수(安聃壽)_시권,1582,안담수(安聃壽),소과,1582년 식년 생원시 복시에서 안담수(安聃壽)가 작성한 답안지,次中,三之十四,Y(外),85,280,한국고문서자료관,안동 갈전 순흥안씨 종가,https://archive.aks.ac.kr/insp/item.do#view.do?itemId=insp&gubun=form&upPath=02%5E0204%5E020451&dataId=G002%2BAKS%2BKSM-XD.1582.0000-20101008.B028a_043_00398_XXX,"1582년 생원시 시제를 확인할 수 없으나, 시권(띠지)과 방목의 등제가 일치하므로 1582년 생원시 복시의 시권으로 추정. 출전-「만력10년임오2월28일사마방목(萬曆十年壬午二月二十八日司馬榜目)」"
,S15880224SS0001,1588년_식년_생원시_복시_이함(李涵)_시권,1588,이함(李涵),소과,1588년 식년 생원시 복시에서 이함(李涵)이 작성한 답안지,次下,三之四十四,,86.5,267,한국고문서자료관,영해 인량 재령이씨 충효당,https://archive.aks.ac.kr/insp/item.do#view.do?itemId=insp&gubun=form&upPath=02%5E0204%5E020451&dataId=G002%2BAKS%2BKSM-XD.1588.0000-20101008.B021a_033_00485_XXX,"1588년 생원시 시제를 확인할 수 없으나, 시권(띠지)과 방목의 등제가 일치하므로 1588년 생원시 복시의 시권으로 추정. 출전-『만력16년무자2월24일사마방목(萬曆十六年戊子二月二十四日司馬榜目)』"
,연도미상,0000년_생원시_박수종(朴壽宗)_시권,미상,박수종(朴壽宗),소과,0000년 생원시에서 박수종(朴壽宗)이 작성한 답안지,미상,결락,,미상,미상,한국고문서자료관,합천 용연서원,https://archive.aks.ac.kr/insp/item.do#view.do?itemId=insp&gubun=form&upPath=02%5E0204%5E020451&dataId=G002%2BAKS%2BKSM-XD.1603.0000-20101008.B018b_030_00088_XXX,"박수종은 1603년에 생원시에 입격하였는데, 당시의 사마방목에 시제가 기록되어 있지 않아 이 시권이 그 해생원시의 시권인지 확정할 수 없음. 그런데 이미지를 자세히 보면 ""~~~~望""이라고 적힌 듯한 띠지가 붙어 있는 것으로 보임."
,S16100306LSS0001,1610년_식년_진사시_복시_이시청(李時淸)_시권,1610,이시청(李時淸),소과,1610년 식년 진사시 복시에서 이시청(李時淸)이 작성한 답안지,次下,三之二十六,,82.5,208,한국고문서자료관,영해 인량 재령이씨 충효당,https://archive.aks.ac.kr/insp/item.do#view.do?itemId=insp&gubun=form&upPath=02%5E0204%5E020451&dataId=G002%2BAKS%2BKSM-XD.1610.0000-20101008.B021a_033_00487_XXX,"1610년 진사시 시제를 확인할 수 없으나, 시권(띠지)과 방목의 등제가 일치하므로 1610년 진사시 복시의 시권으로 추정함. 출전-『경술3월일사마방목(庚戌三月日司馬榜目)』"
,S16240811SS0101,1624년_증광_진사시_복시_최휘지(崔徽之)_시권,1624,최휘지(崔徽之),소과,1624년 증광 진사시 복시에서 최휘지(崔徽之)가 작성한 답안지,次上,三之八,,78.5,97.5,한국고문서자료관,남원·구례 삭녕최씨,https://archive.aks.ac.kr/insp/item.do#view.do?itemId=insp&gubun=form&upPath=02%5E0204%5E020451&dataId=G002%2BAKS%2BKSM-XD.1624.0000-20101008.B049a_072_00495_XXX,
,S16240928BT1,1624년_증광_문과_전시_정심(鄭杺)_시권,1624,정심(鄭杺),대과,1624년 증광 문과 전시에서 정심(鄭杺)이 작성한 답안지,미상,三之十五,,75,181,한국고문서자료관,상주 우산 진주정씨 우복 종가,https://archive.aks.ac.kr/insp/item.do#view.do?itemId=insp&gubun=form&upPath=02%5E0204%5E020451&dataId=G002%2BAKS%2BKSM-XD.1624.0000-20101008.B061a_088_00525_XXX,『국조문과방목(國朝文科榜目)』 卷之十에는 병과 16위로 되어 있음.
,S16270804SS0001,1627년_식년_진사시_복시_신홍망(申弘望)_시권,1627,신홍망(申弘望),소과,1627년 식년 진사시 복시에서 신홍망(申弘望)이 작성한 답안지,更,三之四■■(46),,80,206,한국고문서자료관,의성 아주신씨 오봉 가문,https://archive.aks.ac.kr/insp/item.do#view.do?itemId=insp&gubun=form&upPath=02%5E0204%5E020451&dataId=G002%2BAKS%2BKSM-XD.1627.0000-20101008.B052b_077_00227_XXX,"1627년 진사시 시제를 확인할 수 없으나, 시권 우측 상단에 '~~四十六人望'이라 쓴 것으로 추정되는 띠지가 붙어 있는 것으로 보아, 신홍망이 3등 46위로 입격한 1627년 진사시 복시의 시권일 것으로 추정됨."
,S16330000SF30001,1633년_식년_진사시_초시_이상일(李尙逸)_시권,1633,이상일(李尙逸),소과,1633년 식년 진사시 초시에서 이상일(李尙逸)이 작성한 답안지,二中,一之一,Y(미상),85,220,한국고문서자료관,영해 인량 재령이씨 충효당 종가,https://archive.aks.ac.kr/insp/item.do#view.do?itemId=insp&gubun=form&upPath=02%5E0204%5E020451&dataId=G002%2BAKS%2BKSM-XD.1633.0000-20101008.B021d_094_00015_XXX,"이상일이 1633년 진사시 복시에 입격한 등제는 2등 4위이다. 이 시권에는 등제가 '一之一'로 되어 있고, 응시 연령은 23세로 사마방목과 동일한 것으로 볼 때 진사시 초시(향시)의 시권으로 추정됨."
,S16390901SS0001,1639년_식년_생원시_복시_박안흠(朴安欽)_시권,1639,박안흠(朴安欽),소과,1639년 식년 생원시 복시에서 박안흠(朴安欽)이 작성한 답안지,次中,三之二十九,Y(外),73.9,213.2,한국고문서자료관,봉화 꽃내 무안박씨 회이당 박한 종가,https://archive.aks.ac.kr/insp/item.do#view.do?itemId=insp&gubun=form&upPath=02%5E0204%5E020451&dataId=G002%2BKHD%2BKSM-XD.1639.0000-20161223.C0806_002_00064_XXX,"1639년 생원시 시제를 확인할 수 없으나, 시권(띠지)과 방목상의 등제 및 응시 연령이 동일하므로 1639년 생원시 복시의 시권으로 추정됨."
