year,exam_id,question_id,stage,typeA,examKind,qCategory,qSubcategory
1795,E5de21ade3595,Qab67a7ae089c,초시,소과,식년시,賦,
1795,E5de21ade3595,Q0b3d8cbf2b13,초시,소과,식년시,詩,
1393,Ef4e49bfa544f,Q07834061274a,복시,소과,식년시,,
1393,E550ae6bb1e9b,Q4ae34603c43d,복시,소과,식년시,,
1396,Eb207ff788b18,Q82530ed8111a,복시,소과,식년시,,
1399,E3de0afa3149a,Q4e7f680c225c,복시,소과,식년시,,
1399,E32a25ba481db,Qc59f32bee4bf,복시,소과,식년시,,
1401,E39a9f126afec,Q763d0a2526b8,복시,소과,증광시,,
1402,E0c42022e6cdb,Qba78db41092c,복시,소과,식년시,,
1405,E4321a1dd1bd7,Qdb705e64e4a5,복시,소과,식년시,,
1408,E552fde0c8dad,Q5dee81427139,복시,소과,식년시,,
1411,Ebcd5886d33a1,Qffed2d15167c,복시,소과,식년시,,
1414,E74c58b446c7a,Q987ddf46acf8,초시,소과,식년시,,
1414,E614841748317,Q73a60773c954,복시,소과,식년시,,
1417,E1de5a9fe64d9,Q96a05a2ae56f,복시,소과,식년시,,
1419,E45e8f6274f6b,Q88891444ef36,복시,소과,증광시,,
1420,E54bd1bbafd4e,Q69ba91707522,전시,소과,식년시,,
1423,E48ae914221d5,Q8351fe47e11c,복시,소과,식년시,,
1426,E6e447e40929a,Q67c914ce3501,복시,소과,식년시,,
1429,E568c9d0ef55f,Qfc8942672332,복시,소과,식년시,,
1432,Ef7431127bb63,Q921db38de75d,복시,소과,식년시,,
1435,E94c9edfcf8dc,Q34d2f52f5adc,복시,소과,식년시,,
1438,E32af6069db1c,Qd95171dc7779,복시,소과,식년시,,
1438,E80664ada24b7,Q5f79b25b6245,복시,소과,식년시,,
1441,E237edc5d09a8,Qa65c35954e8e,복시,소과,식년시,,
1441,Ea79b1c0599eb,Q21340e823e73,복시,소과,식년시,,
1393,Ed00324113434,Qfb9d5c327986,전시,대과,식년시,,
1396,E9640c8289fdc,Q91eef991d575,전시,대과,식년시,,
1399,E7b182cab12a9,Qa73bf8de1bc0,전시,대과,식년시,,
1401,Ea3b91ccae798,Qe3c9009a099a,복시(전시),대과,증광시,策,
1402,E631e0857a6e9,Qef4a172c37a2,복시,대과,식년시,,
1402,E24af73e5cbe0,Q6d07653ca513,복시(전시),대과,식년시,,
1405,E98d632589462,Qaa673c75ede4,복시,대과,식년시,,
1405,E6b6b6c5f0e38,Q5cc9f2edf820,복시(전시),대과,식년시,,
1407,E50bbabb95688,Q314ca5817e15,전시,대과,중시,論,
1407,E50bbabb95688,Qac238e3b2a5d,전시,대과,중시,表,
1407,Eb5b1e85d6bb1,Qcbf71d8ea77a,전시,대과,중시,策,
1408,Eb3f21f647844,Q80db3080c27d,복시(전시),대과,식년시,,
1411,E0de3b8000868,Q0a019b3ca8c9,복시,대과,식년시,,
1411,E1d58c998c135,Q8dc1efb235fb,복시(전시),대과,식년시,策,
1414,E38769be6ce64,Q559d78b4d59c,복시(전시),대과,식년시,策,
1414,E6b5625aaec37,Q527f4bec1455,전시,대과,알성시,策,
1416,E3d235b4e2f04,Qc142993f7fec,초시,대과,별시,,
1416,E31680c6059ed,Q27ca998183ec,전시,대과,별시,策,
1416,E94c2fa2c4138,Q0f0e5506009b,전시,대과,중시,策,
1417,E15d9d94d2235,Q9be52e0cc456,복시,대과,식년시,,
1417,E0e6941b9ed16,Qd60cf04b7839,복시(전시),대과,식년시,,
1419,E3c44698c4aa5,Qc1d2441199b5,복시,대과,증광시,,
1419,Ec630c03a835e,Qd109a0105c69,전시,대과,증광시,策,
1420,Ef1f7c7004cf1,Qe7e4ba303e02,복시,대과,식년시,,
1420,Eb79fc975d511,Q068c4711e873,복시(전시),대과,식년시,策,
1423,Ec485cad0e93b,Q1232cd4e7a2e,복시(회시),대과,식년시,,
1423,E265e93e5fa0b,Qa929aee9bdb0,전시,대과,식년시,策,
1426,Eb81141378156,Qe228e3296776,전시,대과,식년시,策,
1427,Ece25109b914b,Q64c1cd2cbb4f,전시,대과,중시,表,
1427,Ec6a7dc8dfd29,Q76c33c4a0b56,전시,대과,별시,表,
1427,E14936b4a3556,Qc4a583f48b45,전시,대과,중시,策,
1427,E577a0f7ac42b,Q46c1cc4c75cd,전시,대과,별시,策,
1429,E0d8532bed2b6,Q8c58b51ab13f,전시,대과,식년시,策,
1429,E923bc54dc73d,Q18038b1c8c33,전시,대과,알성시,箋,
1432,E74fc16680e08,Qa32c40f7e4a9,전시,대과,식년시,策,
1434,Ec9943b3fc6f2,Q47c4fb007327,전시,대과,알성시,策,
1435,Eed59edab5553,Qaa1c3de1287b,전시,대과,식년시,策,
1436,Eb4c63deeafda,Qf9c8c3d651f1,전시,대과,중시,策,
1436,E1fda9016844d,Q66140d5e3eba,전시,대과,별시,策,
1438,Ed63e84502c01,Q05e8366c289e,전시,대과,식년시,策,
1439,E7ab5f31520a8,Q9b4ce4deb5ad,전시,대과,별시,策,
1441,E7feaaf9c6c69,Q9be3490217c6,전시,대과,식년시,策,
1442,Ef099d6f9b77b,Q1882d4e9cfd4,전시,대과,별시,策,
1444,E8c371b0696ad,Q9ad9eef2dd29,전시,대과,식년시,,
1447,Eb12e46aab0c4,Q8fa63f599080,,소과,식년시,,
1450,E01c9fa7c7d9e,Q14368bd61025,,소과,식년시,,
1451,E62672dbdc42e,Q183d6c76914a,,소과,증광시,,
1453,E3bf2b1d8625d,Q62f698d8e7f6,,소과,증광시,,
1453,Ec187843ff462,Q909d54dbcc84,,소과,증광시,,
1453,E3615211a0ae7,Qddf8036fa346,,소과,식년시,,
1453,Eeb6f3687d0f9,Q241153959e0e,,소과,식년시,,
1456,E8f9bbea8d44c,Qa5ed63320006,,소과,식년시,,
1456,Ee7aa002a5091,Qbe5f8ec1d376,,소과,식년시,,
1459,E93d7749b5a98,Q7fb1f9eee7fd,,소과,식년시,,
1459,Ec19f4b2f5bac,Q0cf7b8c5883f,,소과,식년시,,
1462,Ede1d1a7d8b43,Qe8ebccf043b6,,소과,식년시,,
1462,Ef9328ad0db30,Q976110961e61,,소과,식년시,,
1465,E0a939a91b8c9,Qa4e4b87b9364,,소과,식년시,,
1465,E3b793f61c5e0,Q3c07ffbb3cc5,,소과,식년시,,
1468,E4e566a88c98e,Q59d421604d94,,소과,식년시,,
