question_id,category,abstract,content,abstract_ko,abstract_en,content_ko,content_en
Qab67a7ae089c,賦,蓋麟云,蓋麟云,상서로운 기린이 구름처럼 나타나다,Cover of the Unicorn Cloud,개린운,Cloud of Unicorns
Q0b3d8cbf2b13,詩,"思中興股肱之美, 圖_其人於麒麟閣. 押_.","思中興股肱之美, 圖_其人於麒麟閣. 押_.","나라를 도와 공을 세운 신하의 아름다움을 생각하여, 그들의 초상을 기린각에 그렸다.","Thinking of the beauty of the right-hand men during the Middle Revival, their portraits were painted in the Qilin Pavilion.","중흥에 기여한 팔다리와 같은 신하의 아름다움을 생각하여, 그들의 초상화를 기린각에 그리다.","Thinking of their meritorious service as arms and legs of the state, their portraits were painted in the Qilin Hall."
Q5ded8714176f,疑,,"問: 子曰: “知及之, 仁能守之, 莊而_之, 動之不以禮, 未善也.” 仁者, 本心之全德, 禮者, 天理之節文也, 蓋心之全德, 莫非天理, 天理全於我, 則所謂節文, 宜中間物事也, 豈有仁而不能動民以禮者乎? 聖人之訓, 必有深意. 願聞其說.",,,"질문: 공자께서 말씀하시기를 ""지혜로운 자는 그것에 이르고, 어진 자는 그것을 지킬 수 있으며, 장엄하게 그것을 하되, 예법에 맞지 않게 행동하면 아직 선하지 못한 것이다."" 인(仁)이란 본심의 완전한 덕이요, 예(禮)란 천리의 절도와 문채입니다. 대개 마음의 완전한 덕은 천리가 아닌 것이 없고, 천리가 나에게 온전하다면 이른바 절도와 문채는 사물의 중간에 마땅히 있어야 하니, 어찌 어진 자가 예로써 백성을 감동시키지 못하는 자가 있겠습니까? 성인의 가르침에는 반드시 깊은 뜻이 있을 것입니다. 그 설명을 듣고 싶습니다.","Question: The Master said, ""Knowledge can reach it, benevolence can preserve it, dignity can _ it, but if one moves without following propriety, it is not yet good."" Benevolence is the complete virtue of the original mind, and propriety is the regulated pattern of heavenly principle. The complete virtue of the mind is nothing but heavenly principle. When heavenly principle is complete in us, then what we call regulated patterns should naturally mediate between things. How can there be someone who is benevolent but cannot move people according to propriety? The teachings of the sage must have deep meaning. I wish to hear the explanation."
Qe80acdf105ce,義,無感我_兮.,無感我_兮.,나를 알아주지 않는구나.,You do not feel me.,나를 느끼지 못하는구나.,You don't understand me.
Q42d5a7d88fc5,賦,乃令士持滿毋發.,乃令士持滿毋發.,이에 군사들에게 활은 당기되 쏘지는 말라고 명하였다.,Then he ordered the soldiers to hold their drawn bows but not to shoot.,이에 군사들에게 활시위를 당긴 채로 쏘지 말라고 명했다.,He ordered the soldiers to hold their bows fully drawn but not to shoot.
Qbb0081db6b41,詩,"行無部伍, 就善水草舍止. 押舍.","行無部伍, 就善水草舍止. 押舍.",부대를 편성하지 않고 물과 풀이 좋은 곳을 찾아 머물렀다. 숙영지를 지켰다.,"When traveling, without forming ranks, they would settle wherever there was good water and grass. They lived in encampments.","부대를 짜지 않고 다니며, 물과 풀이 좋은 곳을 찾아 머물렀다. 임시 거처를 설치했다.","Moving without formation, they would settle where there was good water and grass. They lived in yurt-like dwellings."
Q5ded8714176f,疑,,"問: 子曰: “君子欲訥於言.” 又曰: “余欲無言.” 然則君子之言, 但當欲訥欲無, 而孟子則曰: “余知言.” 知言之訓, 果不逕庭於欲訥欲無之義歟? 前聖後聖, 其揆一也, 而言各不同, 何歟? 願聞其說.",,,"묻기를: 공자께서 ""군자는 말을 더듬거리기를 바란다"" 하시고, 또 ""나는 말을 하지 않기를 바란다"" 하셨습니다. 그렇다면 군자의 말은 단지 더듬거리기를 바라고 없기를 바라야 하는데, 맹자는 ""나는 말을 안다""고 하였습니다. '말을 안다'는 가르침이 과연 '말을 더듬거리기를 바라고 없기를 바란다'는 뜻과 다르지 않습니까? 앞선 성인과 뒤의 성인이 그 취지는 하나인데 말씀하신 바가 각각 다른 것은 무엇 때문입니까? 그 설명을 듣고 싶습니다.","Question: Confucius said, ""The superior man wishes to be slow in speech."" He also said, ""I wish to be without words."" However, regarding the speech of the superior man, while one should wish to be slow and wish to be without words, Mencius said, ""I know words."" Does the teaching of knowing words truly not differ from the meaning of wishing to be slow and wishing to be without words? The earlier sage and the later sage - their principles are the same, yet their words differ. Why is this? I wish to hear the explanation."
Q32a7757f2faa,義,"樂者, 天地之和也.","樂者, 天地之和也.",음악은 천지의 조화이다.,Music is the harmony of Heaven and Earth.,음악은 천지의 조화이다.,Music is the harmony of Heaven and Earth.
Q07834061274a,,,,,,,
Q4ae34603c43d,,,,,,,
Q82530ed8111a,,,,,,,
Q4e7f680c225c,,,,,,,
Q4e7f680c225c,,,,,,,
Qc59f32bee4bf,,,,,,,
Q763d0a2526b8,,,,,,,
Qba78db41092c,,,,,,,
Qdb705e64e4a5,,,,,,,
Q5dee81427139,,,,,,,
Qffed2d15167c,,,,,,,
Q987ddf46acf8,,,,,,,
Q73a60773c954,,,,,,,
Q96a05a2ae56f,,,,,,,
Q88891444ef36,,,,,,,
Q69ba91707522,,,,,,,
Q8351fe47e11c,,,,,,,
Q67c914ce3501,,,,,,,
Qfc8942672332,,,,,,,
Q921db38de75d,,,,,,,
Q34d2f52f5adc,,,,,,,
Qd95171dc7779,,,,,,,
Q5f79b25b6245,,,,,,,
Qa65c35954e8e,,,,,,,
Q21340e823e73,,,,,,,
Qfb9d5c327986,,,,,,,
Q91eef991d575,,,,,,,
Qa73bf8de1bc0,,,,,,,
