q_id,contents,category
0,蓋麟云,賦
1,"思中興股肱之美, 圖_其人於麒麟閣. 押_.",詩
2,"問: 子曰: “知及之, 仁能守之, 莊而_之, 動之不以禮, 未善也.” 仁者, 本心之全德, 禮者, 天理之節文也, 蓋心之全德, 莫非天理, 天理全於我, 則所謂節文, 宜中間物事也, 豈有仁而不能動民以禮者乎? 聖人之訓, 必有深意. 願聞其說.",疑
3,無感我_兮.,義
4,乃令士持滿毋發.,賦
5,"行無部伍, 就善水草舍止. 押舍.",詩
6,"問: 子曰: “君子欲訥於言.” 又曰: “余欲無言.” 然則君子之言, 但當欲訥欲無, 而孟子則曰: “余知言.” 知言之訓, 果不逕庭於欲訥欲無之義歟? 前聖後聖, 其揆一也, 而言各不同, 何歟? 願聞其說.",疑
7,"樂者, 天地之和也.",義
8,"王若曰: 帝王之治, 必有其道, 帝王之學, 必有其法. 堯舜禹湯文武之爲君, 其所以爲治而所以爲學, 可得聞其詳歟? 厥後漢·魏·秦·隋·唐·宋之君治與學, 其有可法者歟? 抑無可戒者歟? 吾東方有國, 自箕子之朝鮮, 以及前朝, 其有治與學之可言者歟? 我太上王, 應運開國, 予以否德, 纘承丕緖, 夙夜祗懼, 罔知攸濟, 非不有志於治, 而未見其效, 非不有志於學, 而未見其成, 何修而可以至於二帝三王治與學之萬一歟? 爲治之道, 何者爲綱, 何者爲目, 而爲學之法, 何者爲本, 何者爲末歟? 其所以終始用力之方, 又安在乎? 諸子博通經史, 必有能言是者, 願聞其說.",策
9,自古有國家者。必立制度以興一代之治。然在草創。未遑制作。必待守成而後定。故文武造周。至成王而禮樂大備。漢自高帝以歷文，景。稽古禮文之事猶多闕焉。及至武帝。興太學。改正朔。易服色。協音律。漢家制度於是乎備。號令文章。煥焉可述。後之論者。乃以文，景比擬成，康。而不及武帝。何歟。自是厥後。世道日降。曰唐曰宋。治不古若。禮樂制度。無足議爲也。恭惟我太上王神武應期。肇開邦國。創業垂統。規模宏大。上王承緖。讓于有德。今我主上殿下以聰明冠古之資。精一執中之學。持盈守成。文致太平。禮樂之興。維其時矣。草創因循。以至今日。而禮樂之未備。制度之未定。豈無可言者歟。內而成均五部。外而府州郡縣。皆置師生。講明經術。學校不可謂不興也。然而文廟之建。踰年未成。人材之出。視古不加。何以致敎養之實。而得人材之盛歟。宗廟_享之有其制。會朝班序之有其儀。禮樂不可謂不備也。然而玄牡之用。未變其禮。是可因而不可革者歟。登歌下管之節。尙襲前朝之律。廟中之樂。其已備乎。文德武德之曲。猶雜女樂之_。_享之樂。其已正乎。且此二曲。詠歌太上受命之德。獨可奏之_享。而不可薦之宗廟歟。何以使廟樂鼎新而音律之皆協。_樂皆雅而倡優之不雜。以成治世之正音歟。儀章之等已辨。而上下服色之無定。公服可以辨色。而私服難可以有辨歟。禮典之書已成。而節文詳定之無已。將其書未備而然歟。抑奉行者不能推類以通。而必欲更定歟。何以使上下有服而不至於混淆。節文皆具而不輕於變易。以成永世之大典歟。淫祀汰矣。而巫覡之風未殄。何以使人明於義理而不惑於鬼神歟。_役_矣。而愁歎之聲未息。何以使民安於生養而不困於賦斂歟。伊欲使沿革合其宜而制度定。情文得其備而禮樂興。神人和而妖誕息。民俗美而頌聲作。致治之盛。比隆成周。以爲萬世無疆之休。必有其道。諸君子講明經濟之學久矣。其悉心以對。以副我殿下求賢圖治之美意。,
10,闢四門,論
11,賀平安南,表
12,"王若曰, 古昔帝王, 立法定制, 必因時宜, 以隆至治。 唐、虞三代致治之道, 可得聞歟? 精一執中, 堯、舜、禹相授心法; 建中建極, 商湯、周武相傳心法。 曰精曰一, 其功何異? 曰執曰建, 其義何同? 謂之中, 則未至乎極, 謂之極, 則似過乎中。 二者將安所折衷歟? 揖讓征伐, 文質損益, 事與時異, 而同歸于治, 何歟? 漢、唐以降, _于宋、元, 代各有治, 其有合乎中道而可述者歟? 予以否德, _于一國臣民之上, 雖無德敎可以及民, 庶幾夙夜思致小康, 其於帝王之心之道, 蓋嘗有志而願學焉。 聽政之暇, 覽觀經籍, 究求厥旨, 而未知所以用力之方。 動靜云爲之際, 政敎法令之間, 豈無過與不及之差者乎? 其有過而當損者何事, 有不及而當益者何事歟? 今我國家, 創業未久, 而法制尙未備; 遷都未幾, 而力役尙未_。 政治之得失, 田里之休戚, 可言者多, 姑擧其大者言之。 銓遷欲其精也, 〔而〕 僥倖冒進之未除, 考績之法, 何以合宜歟? 田制欲其正也, 而多寡高下之不均, 踏驗之事, 果能無議歟? 賦役不可不均也, 隣保之制、號牌之設, 何者可行? 漕轉不可不急也, 海運之謀、陸輸之策, 何者可用歟? 衣冠法度, 悉遵華制, 而獨女服尙仍舊俗, 是果不得而盡革者歟? 冠婚喪制, 亦可盡從華制歟? 凡此數者, 施爲之道, 必有其宜。 伊欲使其不戾乎古而不駭於今, 其術安在? 思與賢俊, 共圖庶政, 親策子大夫于庭, 願聞爲治之說。 子大夫通經術識治體, 有志斯世久矣。 其於帝王存心出治之道, 當今立法定制之宜, 稽諸古訓, 酌乎時中, 高不務於苟難, 卑不流於汚淺, 各底所蘊, 悉著于篇。 予將親覽而致用焉。",策
13,王若曰。爲治之道。必有本末。行道之序。亦有先後。唐虞三代之治。本末先後。可得言其詳歟。孔子曰。殷因於夏禮。所損益可知也。周因於殷禮。所損益可知也。以禹湯文武之聖。其所損益之不同。何也。三代以降。稱善治者。漢唐宋而已。亦有本末先後之可言歟。漢a006_471b繼於秦。唐繼於隋。宋繼於柴周。其亦有損益而已歟。惟我國家。承前朝衰亂之季。皇考太祖。拯民塗炭之中。創業垂統。予以否德。繼述惟謹。夙夜不敢遑寧。期致乂治。然而民心習俗。尙循前朝之舊。可得無所損益而能治歟。若之何則陰陽和而風雨時。朝廷正而習俗美歟。若之何則賦役均而民_足。軍政修而士卒精。詞訟簡而_抑伸歟。若之何則民有定居而流亡歸。民不益賦而用度裕歟。三代以上之治道。可得施其萬一歟。諸子素有講論。必知其說。陳之無隱。,策
14,"王若曰：天人相感之理, 可得而言其詳歟？ 從古以來, 治亂循環, 其不能長治而久安者, 何歟？堯舜禹湯文武之爲君, 其所以與天相應者, 何道歟？ 漢之_光, 宋之太祖, 其所以與天相感者, 又何道歟？ _水之治, 桑林之禱, 西土之顯, 何其應之遲, 而_水之風沙, __之_合, 陳橋之日光, 何其應之急歟？ 吾東方有國, 亦已久矣. 句_麗之日影鼈橋, 新羅之白馬金櫃, 亦可信其有感而致然歟？ 惟我太祖康獻大王, 應天順人, 奄有東方, 予以否德, 纘承丕緖, 敬天勤民, 無敢或遑, 若之何則二氣亘調, 萬物咸育, 天命以凝, 歷年以永歟？ 諸君子學聖經, 通古今, 陳之無隱.",策
