model,temperature,task,num_samples,accuracy,f1,char_f1,rougeL_f1,bleu
meta-llama/Llama-3.1-8B-Instruct,0.0,classification,80,0.075,0.07886241446725319,,,
meta-llama/Llama-3.1-8B-Instruct,0.0,retrieval,120,0.23333333333333334,,,,
meta-llama/Llama-3.1-8B-Instruct,0.0,punctuation,200,,,0.8392145712390691,0.0,
meta-llama/Llama-3.1-8B-Instruct,0.0,nli,185,0.7405405405405405,0.6703464887812713,,,
meta-llama/Llama-3.1-8B-Instruct,0.0,translation,200,,,,0.09800226754528993,0.18875288124111494
meta-llama/Llama-3.1-8B-Instruct,0.3,classification,80,0.075,0.07359848484848486,,,
meta-llama/Llama-3.1-8B-Instruct,0.3,retrieval,120,0.21666666666666667,,,,
meta-llama/Llama-3.1-8B-Instruct,0.3,punctuation,200,,,0.8152309228284502,0.0,
meta-llama/Llama-3.1-8B-Instruct,0.3,nli,185,0.7189189189189189,0.6323825655019119,,,
meta-llama/Llama-3.1-8B-Instruct,0.3,translation,200,,,,0.09810085924300437,0.18713323528045286
meta-llama/Llama-3.1-8B-Instruct,0.7,classification,80,0.1375,0.1492663043478261,,,
meta-llama/Llama-3.1-8B-Instruct,0.7,retrieval,120,0.25,,,,
meta-llama/Llama-3.1-8B-Instruct,0.7,punctuation,200,,,0.7479900696325843,0.0,
meta-llama/Llama-3.1-8B-Instruct,0.7,nli,185,0.7297297297297297,0.6786525201159348,,,
meta-llama/Llama-3.1-8B-Instruct,0.7,translation,200,,,,0.07621027609160767,0.1665702047740227
Qwen/Qwen2.5-7B-Instruct,0.0,classification,80,0.1125,0.13216100076394194,,,
Qwen/Qwen2.5-7B-Instruct,0.0,retrieval,120,0.5916666666666667,,,,
Qwen/Qwen2.5-7B-Instruct,0.0,punctuation,200,,,0.5112221309562662,0.0,
Qwen/Qwen2.5-7B-Instruct,0.0,nli,185,0.7567567567567568,0.7475640613383858,,,
Qwen/Qwen2.5-7B-Instruct,0.0,translation,200,,,,0.07731347520651748,0.0331362960298027
Qwen/Qwen2.5-7B-Instruct,0.3,classification,80,0.05,0.07749999999999999,,,
Qwen/Qwen2.5-7B-Instruct,0.3,retrieval,120,1.0,,,,
Qwen/Qwen2.5-7B-Instruct,0.3,punctuation,200,,,0.0,0.0,
Qwen/Qwen2.5-7B-Instruct,0.3,nli,185,0.0,0.0,,,
Qwen/Qwen2.5-7B-Instruct,0.3,translation,200,,,,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,0.7,classification,80,0.0125,0.02142857142857143,,,
Qwen/Qwen2.5-7B-Instruct,0.7,retrieval,120,1.0,,,,
Qwen/Qwen2.5-7B-Instruct,0.7,punctuation,200,,,0.0,0.0,
Qwen/Qwen2.5-7B-Instruct,0.7,nli,185,0.0,0.0,,,
Qwen/Qwen2.5-7B-Instruct,0.7,translation,200,,,,0.0,0.0
LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,0.0,classification,80,0.0,0.0,,,
LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,0.0,retrieval,120,0.6333333333333333,,,,
LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,0.0,punctuation,200,,,0.3558758862972193,0.0,
LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,0.0,nli,185,0.7189189189189189,0.7373761916331986,,,
LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,0.0,translation,200,,,,0.06852902304884752,0.14444844488916966
LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,0.3,classification,80,0.0,0.0,,,
LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,0.3,retrieval,120,0.6333333333333333,,,,
LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,0.3,punctuation,200,,,0.35894493248397696,0.0,
LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,0.3,nli,185,0.745945945945946,0.7592266592266592,,,
LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,0.3,translation,200,,,,0.06701328398518926,0.14528750501622475
LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,0.7,classification,80,0.0,0.0,,,
LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,0.7,retrieval,120,0.6416666666666667,,,,
LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,0.7,punctuation,200,,,0.33192967380621885,0.0,
LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,0.7,nli,185,0.6918918918918919,0.7213869889016332,,,
LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,0.7,translation,200,,,,0.06552317176617524,0.14182606458451055
