model,temperature,task,num_samples,accuracy,f1,char_f1,rougeL_f1,bleu
LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,0.0,classification,80,0.0,0.0,,,
LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,0.0,nli,185,0.7189189189189189,0.7373761916331986,,,
LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,0.0,punctuation,200,,,0.3558758862972193,0.0,
LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,0.0,retrieval,120,0.6333333333333333,,,,
LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,0.0,translation,200,,,,0.06852902304884752,0.14444844488916966
LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,0.3,classification,80,0.0,0.0,,,
LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,0.3,nli,185,0.745945945945946,0.7592266592266592,,,
LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,0.3,punctuation,200,,,0.35894493248397696,0.0,
LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,0.3,retrieval,120,0.6333333333333333,,,,
LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,0.3,translation,200,,,,0.06701328398518926,0.14528750501622475
LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,0.7,classification,80,0.0,0.0,,,
LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,0.7,nli,185,0.6918918918918919,0.7213869889016332,,,
LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,0.7,punctuation,200,,,0.33192967380621885,0.0,
LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,0.7,retrieval,120,0.6416666666666667,,,,
LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,0.7,translation,200,,,,0.06552317176617524,0.14182606458451055
Qwen/Qwen2.5-7B-Instruct,0.0,classification,80,0.1125,0.13216100076394194,,,
Qwen/Qwen2.5-7B-Instruct,0.0,nli,185,0.7567567567567568,0.7475640613383858,,,
Qwen/Qwen2.5-7B-Instruct,0.0,punctuation,200,,,0.5112221309562662,0.0,
Qwen/Qwen2.5-7B-Instruct,0.0,retrieval,120,0.5916666666666667,,,,
Qwen/Qwen2.5-7B-Instruct,0.0,translation,200,,,,0.07731347520651748,0.0331362960298027
Qwen/Qwen2.5-7B-Instruct,0.3,classification,80,0.05,0.07749999999999999,,,
Qwen/Qwen2.5-7B-Instruct,0.3,nli,185,0.0,0.0,,,
Qwen/Qwen2.5-7B-Instruct,0.3,punctuation,200,,,0.0,0.0,
Qwen/Qwen2.5-7B-Instruct,0.3,retrieval,120,1.0,,,,
Qwen/Qwen2.5-7B-Instruct,0.3,translation,200,,,,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,0.7,classification,80,0.0125,0.02142857142857143,,,
Qwen/Qwen2.5-7B-Instruct,0.7,nli,185,0.0,0.0,,,
Qwen/Qwen2.5-7B-Instruct,0.7,punctuation,200,,,0.0,0.0,
Qwen/Qwen2.5-7B-Instruct,0.7,retrieval,120,1.0,,,,
Qwen/Qwen2.5-7B-Instruct,0.7,translation,200,,,,0.0,0.0
claude-3-opus-20240229,0.0,classification,80,0.2875,0.2556349206349206,,,
claude-3-opus-20240229,0.0,nli,185,0.3621621621621622,0.48090693786570077,,,
claude-3-opus-20240229,0.0,punctuation,200,,,0.4729692760540438,0.0,
claude-3-opus-20240229,0.0,retrieval,120,0.8083333333333333,,,,
claude-3-opus-20240229,0.0,translation,200,,,,0.12619398298579218,0.2500136650853622
claude-3-opus-20240229,0.3,classification,80,0.2625,0.23753913769932072,,,
claude-3-opus-20240229,0.3,nli,185,0.3891891891891892,0.5038469373896509,,,
claude-3-opus-20240229,0.3,punctuation,200,,,0.4650800450533687,0.0,
claude-3-opus-20240229,0.3,retrieval,120,0.8083333333333333,,,,
claude-3-opus-20240229,0.3,translation,200,,,,0.0,0.0
claude-3-opus-20240229,0.7,classification,80,0.0,0.0,,,
claude-3-opus-20240229,0.7,nli,185,0.0,0.0,,,
claude-3-opus-20240229,0.7,punctuation,200,,,0.0,0.0,
claude-3-opus-20240229,0.7,retrieval,120,1.0,,,,
claude-3-opus-20240229,0.7,translation,200,,,,0.0,0.0
claude-sonnet-4-5-20250929,0.0,classification,80,0.1125,0.16117424242424241,,,
claude-sonnet-4-5-20250929,0.0,nli,185,0.005405405405405406,0.010727006075843286,,,
claude-sonnet-4-5-20250929,0.0,punctuation,200,,,0.4056396923428954,0.0,
claude-sonnet-4-5-20250929,0.0,retrieval,120,0.9166666666666666,,,,
claude-sonnet-4-5-20250929,0.0,translation,200,,,,0.13782111527433036,0.32875986359574655
claude-sonnet-4-5-20250929,0.3,classification,80,0.125,0.1808857808857809,,,
claude-sonnet-4-5-20250929,0.3,nli,185,0.010810810810810811,0.02128898128898129,,,
claude-sonnet-4-5-20250929,0.3,punctuation,200,,,0.415250551091554,0.0,
claude-sonnet-4-5-20250929,0.3,retrieval,120,0.9166666666666666,,,,
claude-sonnet-4-5-20250929,0.3,translation,200,,,,0.13951690137656222,0.33246061361145435
claude-sonnet-4-5-20250929,0.7,classification,80,0.1,0.14512820512820515,,,
claude-sonnet-4-5-20250929,0.7,nli,185,0.0,0.0,,,
claude-sonnet-4-5-20250929,0.7,punctuation,200,,,0.4044753530007386,0.0,
claude-sonnet-4-5-20250929,0.7,retrieval,120,0.9,,,,
claude-sonnet-4-5-20250929,0.7,translation,200,,,,0.13758232526108768,0.3183622196096045
gpt-3.5-turbo,0.0,classification,80,0.2375,0.18713235294117647,,,
gpt-3.5-turbo,0.0,nli,185,0.7405405405405405,0.6931913731913731,,,
gpt-3.5-turbo,0.0,punctuation,200,,,0.9401929335981918,0.0,
gpt-3.5-turbo,0.0,retrieval,120,0.6,,,,
gpt-3.5-turbo,0.0,translation,200,,,,0.13025350233359625,0.25318648443922226
gpt-3.5-turbo,0.3,classification,80,0.25,0.2087428774928775,,,
gpt-3.5-turbo,0.3,nli,185,0.7297297297297297,0.6814270945418486,,,
gpt-3.5-turbo,0.3,punctuation,200,,,0.9409970182192323,0.0,
gpt-3.5-turbo,0.3,retrieval,120,0.6416666666666667,,,,
gpt-3.5-turbo,0.3,translation,200,,,,0.1252525461860046,0.2493649229907419
gpt-3.5-turbo,0.7,classification,80,0.1875,0.1685110400435478,,,
gpt-3.5-turbo,0.7,nli,185,0.7189189189189189,0.6870610470610471,,,
gpt-3.5-turbo,0.7,punctuation,200,,,0.9364312154175836,0.0,
gpt-3.5-turbo,0.7,retrieval,120,0.6333333333333333,,,,
gpt-3.5-turbo,0.7,translation,200,,,,0.11775053702498674,0.23594546761134638
gpt-4-turbo,0.0,classification,80,0.175,0.19318485861964124,,,
gpt-4-turbo,0.0,nli,185,0.827027027027027,0.8085062614005674,,,
gpt-4-turbo,0.0,punctuation,200,,,0.7684041920522128,0.0,
gpt-4-turbo,0.0,retrieval,120,0.7583333333333333,,,,
gpt-4-turbo,0.0,translation,200,,,,0.13241763653983324,0.30670031632607236
gpt-4-turbo,0.3,classification,80,0.1875,0.20288182831661095,,,
gpt-4-turbo,0.3,nli,185,0.8216216216216217,0.8039628153218418,,,
gpt-4-turbo,0.3,punctuation,200,,,0.7698123694157735,0.0,
gpt-4-turbo,0.3,retrieval,120,0.7583333333333333,,,,
gpt-4-turbo,0.3,translation,200,,,,0.13152014851921362,0.3042915198543233
gpt-4-turbo,0.7,classification,80,0.1625,0.17045970695970697,,,
gpt-4-turbo,0.7,nli,185,0.8324324324324325,0.816036036036036,,,
gpt-4-turbo,0.7,punctuation,200,,,0.7749946668961125,0.0,
gpt-4-turbo,0.7,retrieval,120,0.775,,,,
gpt-4-turbo,0.7,translation,200,,,,0.12803181968354718,0.30153905530635
meta-llama/Llama-3.1-8B-Instruct,0.0,classification,80,0.075,0.07886241446725319,,,
meta-llama/Llama-3.1-8B-Instruct,0.0,nli,185,0.7405405405405405,0.6703464887812713,,,
meta-llama/Llama-3.1-8B-Instruct,0.0,punctuation,200,,,0.8392145712390691,0.0,
meta-llama/Llama-3.1-8B-Instruct,0.0,retrieval,120,0.23333333333333334,,,,
meta-llama/Llama-3.1-8B-Instruct,0.0,translation,200,,,,0.09800226754528993,0.18875288124111494
meta-llama/Llama-3.1-8B-Instruct,0.3,classification,80,0.075,0.07359848484848486,,,
meta-llama/Llama-3.1-8B-Instruct,0.3,nli,185,0.7189189189189189,0.6323825655019119,,,
meta-llama/Llama-3.1-8B-Instruct,0.3,punctuation,200,,,0.8152309228284502,0.0,
meta-llama/Llama-3.1-8B-Instruct,0.3,retrieval,120,0.21666666666666667,,,,
meta-llama/Llama-3.1-8B-Instruct,0.3,translation,200,,,,0.09810085924300437,0.18713323528045286
meta-llama/Llama-3.1-8B-Instruct,0.7,classification,80,0.1375,0.1492663043478261,,,
meta-llama/Llama-3.1-8B-Instruct,0.7,nli,185,0.7297297297297297,0.6786525201159348,,,
meta-llama/Llama-3.1-8B-Instruct,0.7,punctuation,200,,,0.7479900696325843,0.0,
meta-llama/Llama-3.1-8B-Instruct,0.7,retrieval,120,0.25,,,,
meta-llama/Llama-3.1-8B-Instruct,0.7,translation,200,,,,0.07621027609160767,0.1665702047740227
